mu_min,C_min
0.00091939, 233.773514421
0.001717901, 180.997341373
0.001437946, 180.382762087
0.002555491, 163.333904051
0.002133631, 145.88227089
0.003332928, 129.859687227
0.003716953, 122.876196337
0.001533994, 103.996232065
0.00267697, 105.017058676
0.002898209, 102.141179626
0.004134839, 106.241607604
0.00488117, 106.032437526
0.002896126, 84.276713934
0.002790547, 78.938446884
0.003643295, 91.25439787
0.003829285, 86.119972869
0.003652706, 71.95250151
0.004072674, 73.182378469
0.005065149, 83.649562892
0.004609117, 73.179624655
0.005799435, 80.155033701
0.005729536, 80.771408953
0.006336237, 83.23236018
0.005320583, 73.997327604
0.004876979, 70.098167457
0.004188215, 63.941538939
0.00493366, 56.134837474
0.005705326, 73.173997298
0.005821777, 71.73602784
0.005529561, 65.988041266
0.005049799, 52.027465097
0.00554005, 55.926385782
0.006870812, 67.21318885
0.006590785, 65.982593505
0.006484799, 57.153568792
0.006928043, 57.972648647
0.007932371, 70.082482694
0.007219517, 57.355135952
0.007230771, 53.864318422
0.007708929, 54.067202623
0.007557134, 52.425271385
0.008046714, 50.574708859
0.007882898, 45.852757196
0.009004898, 66.996894776
0.008560169, 53.446816382
0.008676428, 50.366137436
0.010089325, 65.964633854
0.009889782, 54.877362517
0.009201209, 50.363443488
0.009235859, 47.488522286
0.008885071, 39.482109493
0.00937513, 41.738320689
0.009900342, 45.431723091
0.01049495, 44.196637833
0.012234402, 59.998796703
0.011404379, 42.549258834
0.011474302, 42.13822227
0.011590872, 41.726946243
0.011741518, 33.512620547
0.01238421, 44.597616994
0.012839187, 46.032653042
0.013584992, 41.306031869
0.013572708, 35.967285896
0.014156516, 42.124453203
0.014752082, 49.10291539
0.014681944, 47.665903781
0.014846502, 58.753354713
0.015066639, 46.431896102
0.016106575, 63.88035639
0.016022667, 44.37360027
0.015836103, 44.579896804
0.016488828, 41.70180273
0.016500203, 39.237678631
0.018226963, 46.210333864
0.018226029, 38.202125106
0.019803509, 65.093411143
0.0197685, 64.888252053
0.020687915, 48.867105162
0.020372351, 42.913899633
0.020990044, 39.625307783
0.023112683, 41.25712175
0.023730327, 37.557852529
0.024581711, 38.169498405
0.024756757, 39.195293853
0.0256085, 42.887020021
0.027754535, 45.134730315
0.027579296, 42.466225378
0.030122024, 46.354609734
0.03147417, 41.008859496
0.031555851, 41.41911781
0.031462556, 41.419596734
0.032966737, 39.769164595
0.033001483, 37.715598137
0.033001076, 34.224840473
0.03848193, 32.553994197
